T10173	Erysimum uncinatifolium Boiss. & Huet
T10174	Polygala aspalatha L.
T10175	Erysimum leptocarpum C.Gay
T10176	Cratoxylum cochinchinense (Lour.) Blume
T10177	Cratoxylum formosum (Jack) Dyer subsp. formosum
T10178	Cratoxylum pruniflorum Kurz
T10179	Erysimum verrucosum
T10180	Passiflora rubra
T10181	Ornithogalum creticum
T10182	Cistus symphytifolius
T10183	Ctenanthe setosa
T10184	Degeneria vitiensis
T10185	Eupomatia laurina
T10186	Ctenanthe compressa
T10187	Ctenanthe muelleri
T10188	Manilkara sansibarensis
T10189	Stromanthe thalia
T10190	Stromanthe ramosissima
T10191	Stromanthe stromanthoides MacBryde
T10192	Stromanthe sanguinea Sonder
T10193	Calathea
T10194	Stromanthe stromanthoides
T10195	Stromanthe stromanthoides (J.F. Macbr.) L. Andersson
T10196	Hieracium pilosella
T10197	Dittrichia viscosa (L.) Greuter
T10198	Centaurea rupestris L.
T10199	Cleidion lasiophyllum
T10200	Cleidion claoxyloides Müll.Arg.
T10201	Zanthoxylum coriaceum A.Rich.
T10202	Erigeron acer L.
T10203	Leontodon rosanii (Ten.) DC.
T10204	Polygala sabulosa
T10205	Centaurea cariensis subsp. maculiceps
T10206	Inula conyza DC.
T10207	Urospermum dalechampii (L.) F.W.Schmidt
T10208	Adenostyles alliariae (Gouan) Kerner
T10209	Centaurea triumfettii All.
T10210	Crocus nevadensis Amo & Campo
T10211	Polygala resedoides
T10212	Polygala punctata
T10213	Polygala pulchella
T10214	Celtis australis L. subsp. australis
T10215	Aphananthe aspera (Thunb.) Plach.
T10216	Celtis iguanaea (Jacq.) Sarg.
T10217	Celtis caucasica Willd.
T10218	Celtis trinervia Lam.
T10219	Celtis laevigata Willd.
T10220	Gironniera celtidifolia Gaud.
T10221	Chaetacme aristata Planch.
T10222	Parasponia andersonii (Planch.) Planch.
T10223	Hordeum marinum Huds.
T10224	Senecio sarracenicus L.
T10225	Senecio doronicum (L.) L.
T10226	Tolpis succulenta (Dryand.) Lowe
T10227	Senecio bayonnensis Boiss.
T10228	Senecio hercynicus var. expansus (Boiss. & Heldr.) Herborg
T10229	Jatropha integerrima
T10230	Tolpis farinulosa (Webb) Schmidt
T10231	Tolpis coronopifolia (Desf.) Biv.
T10232	Senecio paludosus L.
T10233	Koelpinia linearis Pall.
T10234	Reichardia glauca Matthews
T10235	Scorzonera rigida DC.
T10236	Steptorhamphus czerepanovii Kirp.
T10237	Tripleurospermum caucasicum (Willd.) Hayek
T10238	Crepis sancta subsp. bifida (Koch) Thell.
T10239	Taraxacum crepidiforme DC.
T10240	Cichorium endivia L.
T10241	Tripleurospermum sevanense (Manden.) Pobed.
T10242	Erysimum salangense Polatschek & Rech.f.
T10243	Achillea wilhelmsii K.Koch
T10244	Erysimum aureum
T10245	Erysimum sintenisianum
T10246	Erysimum babadagense
T10247	Polygala aphylla
T10248	Polygala adenophylla
T10249	Erysimum aureum M.Bieb.
T10250	Erysimum badghysi (Korsh.) Lipsky ex N.Busch
T10251	Carpesium rosulatum
T10252	Carpesium koidzumii Makino
T10253	Carpesium triste Maxim.
T10254	Moussonia elegans
T10255	Carpesium triste
T10256	Carpesium glossophyllum
T10257	Carpesium nepalense
T10258	Carpesium trachelifolium
T10259	Glechoma hirsuta
T10260	Oreochloa disticha
T10261	Carpesium trachelifolium Less.
T10262	Carpesium trachelifolium (Lees.)
T10263	Micromeria biflora
T10264	Geranium asphodeloides Burm.f.
T10265	Catabrosa aquatica (L.) P.B.
T10266	Melilotus graecus
T10267	Dipsacus strigosus
T10268	Scorzonera austriaca Willd.
T10269	Silene otites subsp. pseudotites (Besser) Asch. & Graebn.
T10270	Ajuga pyramidalis L.
T10271	Saussurea obvallata Wall.
T10272	Petrorhagia armerioides (Ser.) P.W.Ball & Heywood
