T10158	Anodonta cygnea Linnaeus, 1758
T10159	Anodonta Lamarck, 1799
T10160	Anodonta piscinalis Nilsson, 1823
T10162	Anolotichia impolita Ulrich, 1886
T10163	Anolotichia rhombica Bassler
T10164	Anomalocaris canadensis Whiteaves, 1892
T10165	Anomocare limbatum Angelin
T10166	Anoplotheca lamellosa Sandberger
T10167	Anthocharis cardamines (Linnaeus, 1758)
T10168	Anthracosia tellinaria Goldfuss
T10169	Anticalyptraea calyptrata Eichwald, 1860
T10170	Anticollix sparsata (Treitschke, 1828)
T10171	Antigonambonites aequistriatus (Gagel)
T10172	Antigonambonites anna Öpik
T10173	Antigonambonites costatus Öpik
T10174	Antigonambonites mäekülaensis Öpik
T10175	Antigonambonites planus (Pander)
T10176	Antiogonambonites sulcatus Öpik
T10177	Antitype chi (Linnaeus, 1758)
T10178	Apamea crenata (Hufnagel, 1766)
T10179	Apamea furva (Denis & Schiffermüller, 1775)
T10180	Apamea illyria (Freyer, 1846)
T10181	Apamea lateritia (Hufnagel, 1766)
T10182	Apamea monoglypha (Hufnagel, 1766)
T10183	Apamea oblonga (Haworth, 1809)
T10184	Apamea ophiogramma (Esper, 1794)
T10185	Apamea remissa (Hübner, 1809)
T10186	Apamea rubrirena rubrirena (Treitschke, 1825)
T10187	Apamea scolopacina (Esper, 1788)
T10188	Apamea sordens (Hufnagel, 1766)
T10189	Apamea sublustris (Esper, 1788)
T10190	Apamea unanimis (Hübner, 1813)
T10191	Apatorthis inflata Öpik
T10192	Apatorthis jugata Öpik
T10193	Apatorthis punctata Öpik
T10194	Apatorthis tenuicosta (Eichwald)
T10195	Apatorthis ultima Öpik
T10196	Apatura iris (Linnaeus, 1758)
T10197	Apeira syringaria (Linnaeus, 1758)
T10198	Aphanomena
T10200	Aphantopus hyperantus (Linnaeus, 1758)
T10201	Apheoortina danus Mickwitz
T10202	Apiocrinus parkinsoni
T10203	Aplocera praeformata (Hübner, 1826)
T10204	Apoda limacodes (Hufnagel, 1766)
T10205	Apomatella ingrica (Pahlen)
T10206	Aporia crataegi (Linnaeus, 1758)
T10207	Araschnia levana (Linnaeus, 1758)
T10208	Araucarites saxonicus
T10209	Arbusculidium destombesii  Deunff, 1968
T10210	Arca
T10211	Arcestes cymbiformis Wulfen
T10212	Archaeodiscina
T10213	Archaeodiscina umbonulata Volkova, 1968
T10214	Archiearis notha (Hübner, 1803)
T10215	Archiearis parthenias (Linnaeus, 1761)
T10216	Arctaspis hoeli Heintz
T10217	Arctia caja (Linnaeus, 1758)
T10218	Arctinurus ornatus (Angelin, 1854)
T10219	Arenostola phragmitidis (Hübner, 1803)
T10220	Arethusina konincki Barrande, 1846
T10221	Argynnis (Argynnis) paphia (Linnaeus, 1758)
T10222	Argynnis (Argyronome) laodice (Pallas, 1771)
T10223	Argynnis (Fabriciana) adippe (Denis & Schiffermüller, 1775)
T10224	Argynnis (Fabriciana) niobe (Linnaeus, 1758)
T10225	Argynnis (Mesoacidalia) aglaja (Linnaeus, 1758)
T10226	Arietites bucklandi Sowbery
T10227	Arietites omündensis Oppel
T10228	Arionellus ceticephalus Barrande
T10229	Aristerella nitiduloides Bekker, 1921
T10230	Arpadites arpadis Mojsisovics
T10231	Arthrophycus alleghaniensis (Harlan, 1831)
T10232	Arvoceras quantum Stumbur
T10233	Arvoceras vasalemmaense Stumbur
T10234	Aryballomorpha grootaertii (Martin, 1984) Martin & Leiming 1988
T10235	Aryballomorpha
T10236	Asaphellus toledanus (Gil, 1976)
T10237	Asaphiscus wheeleri Meek, 1873
T10239	Asaphus (Asaphus) broeggeri Schmidt
T10240	Asaphus (Asaphus) expansus (Wahlenberg, 1821)
T10242	Asaphus (Neoasaphus) cornutus holmi Schmidt
T10244	Asaphus (Neoasaphus) laevissimus laevissimus Schmidt
T10245	Asaphus (Neoasaphus) nieszkowskii Schmidt
T10247	Asaphus devexus Eichwald, 1840
T10248	Asaphus kowalewskii Lawrow 1856
T10249	Asaphus lepidurus Nieszkowski, 1859
T10250	Asaphus ludibundus mut. kegelensis Schmidt, 1901
T10251	Asaphus nobilis Barrande
T10252	Asaphus ornatus Pompecki, 1890
T10253	Asaphus platyurus Angelin, 1854
T10254	Asaphus raniceps Dalman
T10255	Asaphus robergi Wiman, 1908
T10256	Aspidiaria (undulata Sternb.)
T10257	Astamena flexuaosa Rõõmusoks, 1989
T10258	Astamena flexuosa Rõõmusoks, 1989
T10259	Astamena inaequalis Rõõmusoks
T10260	Astamena inaequalis Rõõmusoks, 1989
T10261	Astamena inaequalis Rõõmusoks, 2004
T10262	Astarte bohemica (Barrande, 1881)
T10263	Astarte elegans Sowerby
T10264	Astarte henckeliusiana Nyst
T10265	Asteridium  tornatum (Volkova, 1968) Moczydlowska  1991
T10266	Asterolepis estonica Gross, 1940
T10268	Asterolepis radiata Rohon, 1900
T10269	Asterolepis
T10270	Asterophyllites hippuroides
T10271	Asteroxylon
T10272	Asteusloffia acuta (Krause, 1891)
T10273	Asthena albulata (Hufnagel, 1767)
T10274	Astraeospongia meniscus
T10275	Astraeospongia meniscus Roemer, 1848
T10276	Astraeospongium patina Roemer, 1861
T10277	Astrea tubulosa Roemer
T10278	Astylospongia
T10279	Atactopora intermedia Cumings & Galloway, 1913
T10280	Athabascaella penika Martin and Yin Leiming , 1988
T10281	Athabascaella playfordii (Martin, 1984) Martin & Yin Leiming, 1988
T10282	Athabascaella rossii (Martin, 1984) Martin & Yin Leiming, 1988
T10283	Athabascaella
T10284	Athetis pallustris (Hübner, 1808)
T10285	Athyris spiriferoides (Eaton, 1938)
T10286	Atolmis rubricollis (Linnaeus, 1758)
T10287	Atractopyge kutorgae (Schmidt, 1881)
T10288	Atractopyge
T10289	Atractopyge xipheres Öpik
T10290	Atraktoprion cornutus Kielan-Jaworowska, 1966
T10291	Atrypa bulonensis d'Orb.
T10292	Atrypa comata (Barrande)
T10293	Atrypa eximia Hall
T10294	Atrypa micans (Buch)
T10295	Atrypa prunum Dalman, 1828
T10296	Atrypa reticularis
T10297	Atrypa reticularis (Linnaeus,1767)
T10298	Atrypa reticularis (Linnaeus)
T10299	Atrypa reticularis (Linne, 1758)
T10300	Atrypa reticularis Linne
T10301	Atrypa reticulata (Linnaeus)
T10302	Atrypa
T10303	Atrypa undata
T10304	Atrypoidea prunum (Dalman, 1828)
T10305	Atrypoidea prunum (Dalman)
T10306	Aucella (Aucellina)  grypnaevides Sow.
T10307	Aulacopella cepa (Roemer, 1861)
T10308	Aulacopella cepa Roemer
T10309	Aulacophycus sulcatus Göpp.
T10310	Aulacopium aurantium Oswald
T10311	Aulacopsis simplex (Krause, 1892)
T10312	Aulocopsis simplex (Krause, 1892)
T10313	Aulopora macrostoma
T10314	Aulopora repens Edwards & Heyne
T10315	Aulopora repens Linne
T10316	Aulopora
T10317	Autographa bractea (Denis & Schiffermüller, 1775)
T10318	Autographa buraetica (Staudinger, 1892)
T10319	Autographa excelsa (Kretschmar, 1862)
T10320	Autographa gamma (Linnaeus, 1758)
T10321	Autographa jota (Linnaeus, 1758)
T10322	Autographa mandarina (Freyer, 1845)
T10323	Autographa pulchrina (Haworth, 1809)
T10324	Avicula amygdaloides A. Roemer
T10325	Avicula crinita A. Roemer
T10326	Avicula crinita Roemer
T10327	Avicula gregaria Barrande
T10328	Avicula lepida Goldf.
T10329	Avicula
T10330	Aviculopecten ingriae Verneuil
T10331	Axylia putris (Linnaeus, 1761)
T10332	Aysheaia pedunculata Walcott, 1911
T10333	Bactrites gracilis Sandberger
T10334	Balanophyllia
T10335	Baltisphaerididm cerinum
T10336	Baltisphaeridium accinctum Loeblich & Tappan, 1978
T10337	Baltisphaeridium bystrentos Loeblich & Tappan, 1978
T10338	Baltisphaeridium capillatum (Naumova, 1950) Umnova, 1975
T10339	Baltisphaeridium dubium Volkova, 1968
T10340	Baltisphaeridium implicatum Fridriksone, 1971
T10341	Baltisphaeridium perclarum Loeblich & Tappan, 1978
T10342	Baltisphaeridium pseudofaveolatum Fridriksone, 1971
T10344	Baltisphaeridium stipaticum Hagenfeldt, 1989
T10345	Baltisphaeridium varium
T10346	Baltoeurypterus tetragonophthalmus (Fischer, 1839
T10347	Baltonotella
T10348	Barbarorthis foraminifera Öpik, 1934
T10349	Barbarorthis porkuniensis Oraspõld, 1959
T10350	Barrandeolites
T10351	Basilicus kuckersianus Schmidt, 1904
T10352	Basilicus lutsi Öpik, 1927
T10353	Bassettella gracilis Zuykov & Butts, 2008
T10354	Bathynotus holopyge (Hall, 1860)
T10355	Bathyuriscus rotundatus (Rominger, 1887)
T10356	Batostoma fertile Ulrich, 1886
T10357	Batostoma granulosum Bassler, 1911
T10358	Batostoma implicatum (Nicholson, 1881)
T10359	Batostoma jamesi (Nicholson, 1874)
T10360	Batostoma prosseri, Cumings & Galloway, 1912
T10361	Batostoma varians (James, 1878)
T10362	Beckwithia typa Resser, 1931
T10363	Bekkerina dorsata (Bekker, 1921)
T10364	Bekkerina raricostellata Rõõmusoks, 1993
T10366	Bekkeromena semipartita (Roemer)
T10367	Bekkeromena vormsina Rõõmusoks, 2004
T10368	Bekkeromena ilmari Rõõmusoks, 2004
T10369	Bekkeromena infirma Rõõmusoks
T10370	Baculites neocamiensis
T10372	Belemnitella mucronata Schlotheim
T10373	Belemnites blainvillei Voltz
T10374	Belemnites giganteus Schloth.
T10375	Belemnites giganteus Schlotheim
T10376	Belemnites subhastatus Zieten
T10377	Bellerophon bilobatus Sowerby
T10378	Bellerophon bisulcatus A. Roemer
T10379	Bellerophon bohemicus Barrande
T10380	Bellerophon globatus Sow.
T10381	Bellerophon globatus Sowerby
T10382	Bellerophon minutissimus Wirtgen
T10383	Bellerophon plebeius Barrande
T10384	Bellerophon
T10386	Bellerophon striatus A. Roemer
T10387	Bellerophon striatus d'Orb.
T10388	Bellerophon trilobatus Murchison
T10389	Beloitoceras duplex Stumbur
T10390	Beloitoceras heterocurvatum Strand, 1934
T10391	Beloitoceras nanum (Eichwald)
T10392	Bembecia ichneumoniformis (Denis & Schiffermüller, 1775)
T10393	Beyrichia bohemica Barrande
T10394	Beyrichia
T10395	Bicarinatina bicarinata (Kutorga, 1837)
T10396	Bicuspina dorsata Hisinger
T10397	Bifoveoceras bifoveatum Noetling
T10399	Bilobia musca Öpik
T10400	Bingeria
T10401	Biston betularia (Linnaeus, 1758)
T10402	Biston strataria (Hufnagel, 1767)
T10403	Bithynia tentaculata (Linnaeus, 1758)
T10404	Blainia gregaria Walcott, 1916
T10405	Blepharita amica (Treitschke, 1825)
T10406	Bockia cucumis Hecker, 1938
T10407	Bockia laevis Hecker
T10408	Boloria (Boloria) aquilonaris (Stichel, 1908)
T10409	Boloria (Clossiana) dia (Linnaeus, 1767)
T10410	Boloria (Clossiana) euphrosyne (Linnaeus, 1758)
T10411	Boloria (Clossiana) frigga (Thunberg, 1791)
T10412	Boloria (Clossiana) selene (Denis & Schiffermüller, 1775)
T10413	Boloria (Clossiana) titania (Esper, 1793)
T10414	Boloria (Proclossiana) eunomia (Esper, 1799)
T10415	Bonnia senecta (Billings, 1861)
T10416	Boreadortis crassa Öpik
T10417	Boreadortis crassa Öpik, 1934
T10418	Boreadortis recula Öpik, 1934
T10419	Boreadortis recula aequivalvata Öpik
T10420	Borealis borealis borealis (Eichwald)
T10421	Bornia scrabiculata (Goepp.)
T10422	Bornia transitionis (Roem)
T10423	Bos primigenius (Bojanus, 1827)
T10424	Bostrychoceras polyplocum A. Römer
T10425	Bothriolepis cellulosa (Pander, 1846)
T10426	Brachionycha nubeculosa (Esper, 1785)
T10427	Brachyelasma hiumica Reiman
T10428	Brachylomia viminalis (Fabricius, 1776)
T10429	Brachymetopus
T10430	Brachytomaria baltica (Verneuil, 1845)
T10431	Brachyura rugosus Schlotheim
T10432	Bradoria
T10433	Brenthis ino (Rottemburg, 1775)
T10434	Brevivelum avelata Schallreuter, 1993
T10435	Brezelina palmata (Krause, 1889)
T10436	Broeggeria salteri (Holl, 1865)
T10437	Bronteus dormitzeri Barrande
T10438	Bronteus palifer Beyrich
T10439	Bronteus thysanopeltis Barrande
T10440	Bronteus umbellifer Beyreuth
T10441	Brooksella alternata Walcott, 1896
T10442	Bryozoa
T10444	Buccinum oceani Goldf.
T10445	Buchiola retrostriata v. Buc
T10446	Buedingiisphaeridium tremadocum Rasul, 1979
T10447	Bugula turbinata Alder, 1857
T10448	Bumastus bariensis (Murchison)
T10449	Bumastus barriensis (Murchison, 1839)
T10450	Bunodes lunula Eichwald, 1854
T10451	Burgessia bella Walcott, 1912
T10452	Buthotrepis palmata Hall
T10453	Byssacanthus dilatatus (Eichwald, 1844)
T10454	Byssacanthus
T10455	Byssonychia radiata (Hall, 1847)
T10456	Bythopora meeki (James, 1878)
T10457	Cadoceras elatinae Nikit.
T10458	Calamites distans (Goeppert)
T10459	Calamites goepperti (Roemer)
T10460	Calamites
T10461	Calamites transitionis (Goeppert)
T10462	Calamites varians Sternberg
T10463	Calamopona basaltica d'Orb.
T10464	Calamopona goldfusii d'Orb.
T10465	Calamopona perplexa Handell & Shuman
T10466	Calamopona polymorpha d'Orb.
T10467	Calamopora infundibulifera Goldfuss
T10468	Calamopora alveolaris Goldfuss
T10469	Calamopora gothlandica Goldfuss
T10470	Calamopora polymorpha Goldf.
T10471	Calamopora polymorpha Goldfuss
T10472	Calceocrinidae
T10473	Calceola gotlandica Roemer, 1856
T10474	Calceola sandalina (Linnaeus, 1771)
T10475	Calceola sandalina Linnaeus 1771
T10476	Caldariola glabra (Martin, 1972) Molyneux 1988
T10477	Caleoprion gracile Sandberger
T10478	Callavia perfecta Walcott, 1913
T10479	Callimorpha dominula (Linnaeus, 1758)
T10480	Callistege mi (Clerck, 1759)
T10481	Calliteara abietis (Denis & Schiffermüller, 1775)
T10482	Calliteara fascelina (Linnaeus, 1758)
T10483	Calliteara pudibunda (Linnaeus, 1758)
T10484	Callophrys rubi (Linnaeus, 1758)
T10485	Calymene abbreviata Foerste, 1910
T10486	Calymene baylei Barrande
T10487	Calymene blumenbachii (Brongniart, 1817)
T10488	Calymene blumenbachii Brongniart, 1817
T10489	Calymene declinata Corda
T10490	Calymene diademata Barrande
T10491	Calymene frontosa Lindström
T10492	Calymene niagarensis (Hall, 1852)
T10493	Calymene parvula Barrande
T10494	Calymene pulchra Barrande
T10495	Calymene senaria Conrad, 1841
T10496	Calymene
T10497	Calymene verneulli
T10498	Camarophoria schlotheimi
T10499	Camarophoria schlotheimi King
T10500	Camarotoechia borealis (Schl.)
T10501	Camarotoechia diodonta (Dalman, 1828)
T10502	Camerella dura Oraspõld, 1956
T10503	Camerophoria (Rhynchonella) microrhyncha
T10504	Camerospongia runeiformis
T10505	Campophyllum fleuxrcosum Edw. & H.
T10506	Camptogramma bilineata (Linnaeus, 1758)
T10507	Canadia spinosa Walcott, 1911
T10508	Cancer
T10509	Capulus anguis Barrande
T10510	Capulus elegans Barrande
T10511	Capulus priscus Goldfuss
T10512	Capulus robustus Barrande
T10513	Capulus
T10514	Caradrina morpheus (Hufnagel, 1766)
T10515	Cardinia carinata Roemer
T10516	Cardinia devonica d'Orb.
T10517	Cardinia inflata Roemer
T10518	Cardioceras cordatus Sowerby
T10520	Cardiola bohemica (Barrande, 1881)
T10521	Cardiola concentrica v. Buch
T10522	Cardiola fibrosa Murchison
T10523	Cardiola gibbosa Barrande
T10524	Cardiola interrupta Barrande
T10525	Cardiola interrupta Sowerby
T10526	Cardiola interrupta Sowerby in Murchison 1839
T10527	Cardiola retrostriata Sandberger
T10528	Cardiola
T10529	Cardita crenata Goldf.
T10530	Cardium cingulatum Goldf.
T10531	Cardium cognatum Phill.
T10532	Cardium comatulum Bronn.
T10533	Cardium echinatum Linné
T10534	Caritodens demissa (Conrad, 1842)
T10535	Carpinus
T10536	Carpospongia castanea (Roemer, 1861)
T10537	Carpospongia globosa  (Eichwald, 1830)
T10538	Carsia sororiata (Hübner, 1813)
T10539	Carterocephalus palaemon (Pallas, 1771)
T10540	Carterocephalus silvicola (Meigen, 1829)
T10541	Carya ventricosa
T10542	Caryocrinites ornatus Say, 1825
T10543	Caryomanon incisolobatum
T10544	Cassianella gryphaeata Münster
T10545	Catarhoe cuculata (Hufnagel, 1767)
T10546	Catarhoe rubidata (Denis & Schiffermüller, 1775)
T10547	Catenipora
T10548	Catocala adultera Ménétriés, 1856
T10549	Catocala fraxini (Linnaeus, 1758)
T10550	Catocala fulminea (Scopoli, 1763)
T10551	Catocala nupta (Linnaeus, 1767)
T10552	Catocala pacta (Linnaeus, 1758)
T10553	Catocala promissa (Denis & Schiffermüller, 1775)
T10554	Catocala sponsa (Linnaeus, 1767)
T10555	Cedaria woosteri (Whitefield)
T10556	Celaena haworthii (Curtis, 1829)
T10557	Celaena leucostigma (Hübner, 1808)
T10558	Celastrina argiolus (Linnaeus, 1758)
T10559	Cellaria sinuosa (Hassall, 1840)
T10560	Cellepora ramulosa (Linné, 1735)
T10561	Celtiberium dedalinum Fombella, 1978
T10562	Celtiberium robustum
T10563	Centropleura loveni (Angelin, 1851)
T10564	Cephalaspis aarhusi Wängsjö, 1952
T10565	Cephalites catenifer T. Smith
T10566	Cepphis advenaria (Hübner, 1790)
T10567	Ceramophylla frondosa Ulrich, 1893
T10568	Ceramoporella distincta Ulrich, 1882
T10569	Cerapteryx graminis (Linnaeus, 1758)
T10570	Ceratiocaris
T10572	Ceratites enodis
T10573	Ceratites nodosus
T10574	Ceratites nodosus de Haan
T10575	Ceratites semipartites Montfort
T10576	Ceratites
T10577	Ceratocephala (Acidaspis) brighti (Murchison)
T10578	Ceratocephala (Acidaspis) viruana Öpik
T10579	Ceratocephala kukersiana Fr. Schmidt, 1885
T10580	Ceratophyton groetlingboensis
T10581	Ceratreta tanneri (Metzger, 1922)
T10582	Ceraurus aculeatus (Eichwald, 1860)
T10583	Ceriopora conifera D'Orbigny 1849
T10584	Cerithium (Potamides) plicatum var. pustulata A. Braun
T10585	Cerithium (Potamides) plicatus var. pustulata A. Braun
T10586	Cerithium hantkeni Munier-Chalmas
T10587	Cerithium laevissimum Schlotheim
T10588	Cerithium plicatus
T10589	Cerura erminea (Esper, 1783)
T10590	Cerura vinula (Linnaeus, 1758)
T10591	Carcinus moenas
T10592	Chaetetes cornuta Verneuil & Hein.
T10593	Charactoceras estonicum Strand
T10594	Chasmatopora furcata Eichwald
T10595	Chasmatopora punctata Bekker, 1921
T10596	Chasmatoporella furcata Eichwald
